date,session_key,position,driver_number,meeting_key
2025-09-07T14:12:44.268000+00:00,9912,13,87,1268
2025-09-07T14:12:44.268000+00:00,9912,14,18,1268
2025-09-07T14:12:44.268000+00:00,9912,15,10,1268
2025-09-07T14:12:52.182000+00:00,9912,14,22,1268
2025-09-07T14:12:52.182000+00:00,9912,15,18,1268
2025-09-07T14:12:52.182000+00:00,9912,16,10,1268
2025-09-07T14:12:52.812000+00:00,9912,16,18,1268
2025-09-07T14:12:52.812000+00:00,9912,15,30,1268
2025-09-07T14:12:52.812000+00:00,9912,17,10,1268
2025-09-07T14:12:58.212000+00:00,9912,17,18,1268
2025-09-07T14:12:58.212000+00:00,9912,16,10,1268
2025-09-07T14:12:58.959000+00:00,9912,18,18,1268
2025-09-07T14:12:58.959000+00:00,9912,17,43,1268
2025-09-07T14:13:03.274000+00:00,9912,16,43,1268
2025-09-07T14:13:03.274000+00:00,9912,17,10,1268
2025-09-07T14:15:05.959000+00:00,9912,7,23,1268
2025-09-07T14:15:05.959000+00:00,9912,8,31,1268
2025-09-07T14:15:09.321000+00:00,9912,8,12,1268
2025-09-07T14:15:09.321000+00:00,9912,9,31,1268
2025-09-07T14:15:15.469000+00:00,9912,17,43,1268
2025-09-07T14:15:15.469000+00:00,9912,16,10,1268
2025-09-07T14:15:16.704000+00:00,9912,9,5,1268
2025-09-07T14:15:16.704000+00:00,9912,10,31,1268
2025-09-07T14:15:22.269000+00:00,9912,11,31,1268
2025-09-07T14:15:22.269000+00:00,9912,10,6,1268
2025-09-07T14:15:23.112000+00:00,9912,11,55,1268
2025-09-07T14:15:23.112000+00:00,9912,12,31,1268
2025-09-07T14:15:28.483000+00:00,9912,12,87,1268
2025-09-07T14:15:28.483000+00:00,9912,13,31,1268
2025-09-07T14:15:41.995000+00:00,9912,13,22,1268
2025-09-07T14:15:41.995000+00:00,9912,14,31,1268
2025-09-07T14:15:42.729000+00:00,9912,15,31,1268
2025-09-07T14:15:42.729000+00:00,9912,14,30,1268
2025-09-07T14:17:57.800000+00:00,9912,9,12,1268
2025-09-07T14:17:57.800000+00:00,9912,8,5,1268
