Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec,S1_sec,S2_sec,S3_sec,Race
0 days 01:39:42.058000,TSU,22,0 days 00:01:27.299000,26.0,2.0,,,0 days 00:00:32.229000,0 days 00:00:29.919000,0 days 00:00:25.151000,0 days 01:38:46.988000,0 days 01:39:16.907000,0 days 01:39:42.058000,234.0,285.0,280.0,313.0,True,MEDIUM,19.0,True,Red Bull Racing,0 days 01:38:14.759000,2025-11-30 16:43:00.434,1,12.0,False,,False,True,87.299,32.229,29.919,25.151,Qatar Grand Prix
0 days 01:41:09.464000,TSU,22,0 days 00:01:27.406000,27.0,2.0,,,0 days 00:00:32.257000,0 days 00:00:29.916000,0 days 00:00:25.233000,0 days 01:40:14.315000,0 days 01:40:44.231000,0 days 01:41:09.464000,233.0,285.0,280.0,,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:39:42.058000,2025-11-30 16:44:27.733,1,12.0,False,,False,True,87.406,32.257,29.916,25.233,Qatar Grand Prix
0 days 01:42:37.088000,TSU,22,0 days 00:01:27.624000,28.0,2.0,,,0 days 00:00:32.529000,0 days 00:00:29.969000,0 days 00:00:25.126000,0 days 01:41:41.993000,0 days 01:42:11.962000,0 days 01:42:37.088000,,285.0,279.0,311.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:41:09.464000,2025-11-30 16:45:55.139,1,12.0,False,,False,True,87.624,32.529,29.969,25.126,Qatar Grand Prix
0 days 01:44:04.494000,TSU,22,0 days 00:01:27.406000,29.0,2.0,,,0 days 00:00:32.339000,0 days 00:00:29.909000,0 days 00:00:25.158000,0 days 01:43:09.427000,0 days 01:43:39.336000,0 days 01:44:04.494000,234.0,286.0,280.0,310.0,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:42:37.088000,2025-11-30 16:47:22.763,1,12.0,False,,False,True,87.406,32.339,29.909,25.158,Qatar Grand Prix
0 days 01:45:31.787000,TSU,22,0 days 00:01:27.293000,30.0,2.0,,,0 days 00:00:32.239000,0 days 00:00:29.987000,0 days 00:00:25.067000,0 days 01:44:36.733000,0 days 01:45:06.720000,0 days 01:45:31.787000,236.0,285.0,280.0,311.0,True,MEDIUM,23.0,True,Red Bull Racing,0 days 01:44:04.494000,2025-11-30 16:48:50.169,1,12.0,False,,False,True,87.293,32.239,29.987,25.067,Qatar Grand Prix
0 days 01:46:58.761000,TSU,22,0 days 00:01:26.974000,31.0,2.0,,,0 days 00:00:32.169000,0 days 00:00:29.787000,0 days 00:00:25.018000,0 days 01:46:03.956000,0 days 01:46:33.743000,0 days 01:46:58.761000,235.0,286.0,280.0,309.0,True,MEDIUM,24.0,True,Red Bull Racing,0 days 01:45:31.787000,2025-11-30 16:50:17.462,1,12.0,False,,False,True,86.974,32.169,29.787,25.018,Qatar Grand Prix
0 days 01:48:29.902000,TSU,22,0 days 00:01:31.141000,32.0,2.0,,0 days 01:48:25.993000,0 days 00:00:32.048000,0 days 00:00:29.808000,0 days 00:00:29.285000,0 days 01:47:30.809000,0 days 01:48:00.617000,0 days 01:48:29.902000,238.0,285.0,,,False,MEDIUM,25.0,True,Red Bull Racing,0 days 01:46:58.761000,2025-11-30 16:51:44.436,1,12.0,False,,False,False,91.141,32.048,29.808,29.285,Qatar Grand Prix
0 days 01:50:18.381000,TSU,22,0 days 00:01:48.479000,33.0,3.0,0 days 01:48:54.177000,,0 days 00:00:54.354000,0 days 00:00:29.037000,0 days 00:00:25.088000,0 days 01:49:24.256000,0 days 01:49:53.293000,0 days 01:50:18.381000,234.0,287.0,281.0,178.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:48:29.902000,2025-11-30 16:53:15.577,1,13.0,False,,False,False,108.479,54.354,29.037,25.088,Qatar Grand Prix
0 days 01:51:43.885000,TSU,22,0 days 00:01:25.504000,34.0,3.0,,,0 days 00:00:31.714000,0 days 00:00:28.958000,0 days 00:00:24.832000,0 days 01:50:50.095000,0 days 01:51:19.053000,0 days 01:51:43.885000,237.0,287.0,283.0,309.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:50:18.381000,2025-11-30 16:55:04.056,1,13.0,False,,False,True,85.504,31.714,28.958,24.832,Qatar Grand Prix
0 days 01:53:09.543000,TSU,22,0 days 00:01:25.658000,35.0,3.0,,,0 days 00:00:31.785000,0 days 00:00:29.124000,0 days 00:00:24.749000,0 days 01:52:15.670000,0 days 01:52:44.794000,0 days 01:53:09.543000,239.0,287.0,283.0,,False,HARD,3.0,True,Red Bull Racing,0 days 01:51:43.885000,2025-11-30 16:56:29.560,1,12.0,False,,False,True,85.658,31.785,29.124,24.749,Qatar Grand Prix
