date,session_key,position,driver_number,meeting_key
2025-11-09T17:48:44.424000+00:00,9869,10,10,1273
2025-11-09T17:49:21.424000+00:00,9869,2,4,1273
2025-11-09T17:49:21.424000+00:00,9869,3,63,1273
2025-11-09T17:49:27.357000+00:00,9869,4,12,1273
2025-11-09T17:49:27.357000+00:00,9869,5,1,1273
2025-11-09T17:49:31.788000+00:00,9869,3,12,1273
2025-11-09T17:49:31.788000+00:00,9869,4,63,1273
2025-11-09T17:49:39.827000+00:00,9869,5,63,1273
2025-11-09T17:49:39.827000+00:00,9869,4,27,1273
2025-11-09T17:49:39.827000+00:00,9869,6,1,1273
2025-11-09T17:49:41.010000+00:00,9869,6,63,1273
2025-11-09T17:49:41.010000+00:00,9869,5,87,1273
2025-11-09T17:49:41.010000+00:00,9869,8,23,1273
2025-11-09T17:49:41.010000+00:00,9869,7,1,1273
2025-11-09T17:49:41.295000+00:00,9869,7,63,1273
2025-11-09T17:49:41.295000+00:00,9869,6,23,1273
2025-11-09T17:49:41.295000+00:00,9869,8,1,1273
2025-11-09T17:49:45.296000+00:00,9869,8,6,1273
2025-11-09T17:49:45.296000+00:00,9869,9,1,1273
2025-11-09T17:49:45.733000+00:00,9869,9,10,1273
2025-11-09T17:49:45.733000+00:00,9869,10,1,1273
2025-11-09T17:49:46.686000+00:00,9869,10,30,1273
2025-11-09T17:49:46.686000+00:00,9869,11,1,1273
2025-11-09T17:50:01.258000+00:00,9869,11,55,1273
2025-11-09T17:50:01.258000+00:00,9869,12,1,1273
2025-11-09T17:50:53.470000+00:00,9869,6,63,1273
2025-11-09T17:50:53.470000+00:00,9869,7,23,1273
2025-11-09T17:50:56.516000+00:00,9869,7,6,1273
2025-11-09T17:50:56.516000+00:00,9869,8,23,1273
2025-11-09T17:50:57.112000+00:00,9869,8,10,1273
2025-11-09T17:50:57.112000+00:00,9869,9,23,1273
2025-11-09T17:50:59.888000+00:00,9869,12,55,1273
2025-11-09T17:50:59.888000+00:00,9869,11,1,1273
2025-11-09T17:51:02.050000+00:00,9869,9,30,1273
2025-11-09T17:51:02.050000+00:00,9869,10,23,1273
2025-11-09T17:51:03.911000+00:00,9869,11,23,1273
2025-11-09T17:51:03.911000+00:00,9869,10,1,1273
2025-11-09T17:51:04.349000+00:00,9869,12,23,1273
2025-11-09T17:51:04.349000+00:00,9869,11,55,1273
2025-11-09T17:51:07.718000+00:00,9869,13,23,1273
2025-11-09T17:51:07.718000+00:00,9869,12,31,1273
2025-11-09T17:51:14.630000+00:00,9869,13,14,1273
2025-11-09T17:51:14.630000+00:00,9869,14,23,1273
2025-11-09T17:51:17.156000+00:00,9869,15,23,1273
2025-11-09T17:51:17.156000+00:00,9869,14,43,1273
2025-11-09T17:51:30.830000+00:00,9869,16,23,1273
