date,session_key,driver_number,position,meeting_key
2025-06-29T13:52:17.966000+00:00,9955,30,4,1264
2025-06-29T13:52:33.413000+00:00,9955,5,9,1264
2025-06-29T13:52:33.413000+00:00,9955,27,10,1264
2025-06-29T13:52:48.357000+00:00,9955,43,14,1264
2025-06-29T13:52:48.357000+00:00,9955,31,13,1264
2025-06-29T13:53:21.466000+00:00,9955,44,5,1264
2025-06-29T13:53:21.466000+00:00,9955,14,6,1264
2025-06-29T13:53:24.751000+00:00,9955,5,8,1264
2025-06-29T13:53:24.751000+00:00,9955,6,9,1264
2025-06-29T13:53:25.770000+00:00,9955,6,10,1264
2025-06-29T13:53:25.770000+00:00,9955,27,9,1264
2025-06-29T13:53:30.889000+00:00,9955,10,10,1264
2025-06-29T13:53:30.889000+00:00,9955,6,11,1264
2025-06-29T13:53:31.466000+00:00,9955,6,12,1264
2025-06-29T13:53:31.466000+00:00,9955,87,11,1264
2025-06-29T13:53:33.089000+00:00,9955,6,13,1264
2025-06-29T13:53:33.089000+00:00,9955,31,12,1264
2025-06-29T13:53:34.082000+00:00,9955,6,14,1264
2025-06-29T13:53:34.082000+00:00,9955,43,13,1264
2025-06-29T13:53:34.660000+00:00,9955,6,15,1264
2025-06-29T13:53:34.660000+00:00,9955,22,14,1264
2025-06-29T13:54:00.514000+00:00,9955,44,4,1264
2025-06-29T13:54:00.514000+00:00,9955,30,5,1264
2025-06-29T13:55:01.804000+00:00,9955,43,14,1264
2025-06-29T13:55:01.804000+00:00,9955,22,13,1264
2025-06-29T13:55:07.579000+00:00,9955,43,13,1264
2025-06-29T13:55:07.579000+00:00,9955,22,14,1264
2025-06-29T13:55:20.212000+00:00,9955,87,12,1264
2025-06-29T13:55:20.212000+00:00,9955,31,11,1264
2025-06-29T13:55:22.618000+00:00,9955,43,14,1264
2025-06-29T13:55:22.618000+00:00,9955,22,13,1264
2025-06-29T13:55:59.041000+00:00,9955,43,13,1264
2025-06-29T13:55:59.041000+00:00,9955,22,14,1264
2025-06-29T13:56:09.487000+00:00,9955,6,14,1264
2025-06-29T13:56:09.487000+00:00,9955,22,15,1264
2025-06-29T13:56:12.665000+00:00,9955,18,15,1264
2025-06-29T13:56:12.665000+00:00,9955,22,16,1264
2025-06-29T13:58:01.106000+00:00,9955,30,6,1264
2025-06-29T13:58:01.106000+00:00,9955,14,5,1264
2025-06-29T13:58:08.584000+00:00,9955,63,6,1264
2025-06-29T13:58:08.584000+00:00,9955,30,7,1264
2025-06-29T13:58:10.841000+00:00,9955,30,8,1264
2025-06-29T13:58:10.841000+00:00,9955,5,7,1264
2025-06-29T13:58:13.841000+00:00,9955,30,9,1264
2025-06-29T13:58:13.841000+00:00,9955,27,8,1264
2025-06-29T13:58:17.155000+00:00,9955,30,10,1264
2025-06-29T13:58:17.155000+00:00,9955,10,9,1264
2025-06-29T13:58:17.296000+00:00,9955,30,11,1264
2025-06-29T13:58:17.296000+00:00,9955,31,10,1264
2025-06-29T13:58:18.952000+00:00,9955,30,12,1264
2025-06-29T13:58:18.952000+00:00,9955,87,11,1264
2025-06-29T13:58:33.468000+00:00,9955,10,10,1264
2025-06-29T13:58:33.468000+00:00,9955,31,9,1264
2025-06-29T13:59:15.727000+00:00,9955,63,5,1264
2025-06-29T13:59:15.727000+00:00,9955,14,6,1264
2025-06-29T13:59:21.712000+00:00,9955,5,6,1264
2025-06-29T13:59:21.712000+00:00,9955,14,7,1264
2025-06-29T13:59:24.837000+00:00,9955,14,8,1264
2025-06-29T13:59:24.837000+00:00,9955,27,7,1264
2025-06-29T13:59:28.115000+00:00,9955,14,9,1264
2025-06-29T13:59:28.115000+00:00,9955,31,8,1264
2025-06-29T13:59:29.700000+00:00,9955,10,9,1264
2025-06-29T13:59:29.700000+00:00,9955,14,10,1264
2025-06-29T13:59:30.249000+00:00,9955,14,11,1264
2025-06-29T13:59:30.249000+00:00,9955,87,10,1264
2025-06-29T13:59:41.294000+00:00,9955,30,11,1264
2025-06-29T13:59:41.294000+00:00,9955,14,12,1264
2025-06-29T14:01:03.835000+00:00,9955,10,10,1264
2025-06-29T14:01:03.835000+00:00,9955,87,9,1264
2025-06-29T14:02:24.430000+00:00,9955,6,13,1264
2025-06-29T14:02:24.430000+00:00,9955,43,14,1264
2025-06-29T14:05:19.310000+00:00,9955,30,10,1264
2025-06-29T14:05:19.310000+00:00,9955,10,11,1264
2025-06-29T14:05:27.872000+00:00,9955,10,12,1264
2025-06-29T14:05:27.872000+00:00,9955,14,11,1264
2025-06-29T14:05:33.951000+00:00,9955,10,13,1264
2025-06-29T14:05:33.951000+00:00,9955,6,12,1264
2025-06-29T14:05:38.888000+00:00,9955,10,14,1264
2025-06-29T14:05:38.888000+00:00,9955,43,13,1264
2025-06-29T14:05:39.185000+00:00,9955,10,15,1264
2025-06-29T14:05:39.185000+00:00,9955,18,14,1264
2025-06-29T14:05:52.911000+00:00,9955,43,14,1264
2025-06-29T14:05:52.911000+00:00,9955,18,13,1264
2025-06-29T14:06:36.919000+00:00,9955,30,9,1264
2025-06-29T14:06:36.919000+00:00,9955,87,10,1264
2025-06-29T14:06:41.153000+00:00,9955,14,10,1264
2025-06-29T14:06:41.153000+00:00,9955,87,11,1264
2025-06-29T14:06:44.294000+00:00,9955,6,11,1264
2025-06-29T14:06:44.294000+00:00,9955,87,12,1264
2025-06-29T14:06:50.044000+00:00,9955,87,13,1264
2025-06-29T14:06:50.044000+00:00,9955,18,12,1264
2025-06-29T14:07:01.450000+00:00,9955,10,14,1264
2025-06-29T14:07:01.450000+00:00,9955,43,15,1264
2025-06-29T14:07:04.341000+00:00,9955,43,16,1264
2025-06-29T14:07:04.341000+00:00,9955,22,15,1264
2025-06-29T14:10:01.147000+00:00,9955,31,7,1264
2025-06-29T14:10:01.147000+00:00,9955,27,8,1264
2025-06-29T14:10:10.568000+00:00,9955,30,8,1264
