date,session_key,meeting_key,position,driver_number
2025-09-21T11:36:33.756000+00:00,9904,1269,17,10
2025-09-21T11:37:09.317000+00:00,9904,1269,19,43
2025-09-21T11:37:09.317000+00:00,9904,1269,18,23
2025-09-21T11:37:14.769000+00:00,9904,1269,18,43
2025-09-21T11:37:14.769000+00:00,9904,1269,19,23
2025-09-21T11:37:30.665000+00:00,9904,1269,19,43
2025-09-21T11:37:30.665000+00:00,9904,1269,18,23
2025-09-21T11:39:36.060000+00:00,9904,1269,5,12
2025-09-21T11:39:36.060000+00:00,9904,1269,4,63
2025-09-21T11:39:38.162000+00:00,9904,1269,6,12
2025-09-21T11:39:38.162000+00:00,9904,1269,5,22
2025-09-21T11:39:43.210000+00:00,9904,1269,7,12
2025-09-21T11:39:43.210000+00:00,9904,1269,6,16
2025-09-21T11:39:45.402000+00:00,9904,1269,8,12
2025-09-21T11:39:45.402000+00:00,9904,1269,7,4
2025-09-21T11:39:47.402000+00:00,9904,1269,9,12
2025-09-21T11:39:47.402000+00:00,9904,1269,8,44
2025-09-21T11:39:51.029000+00:00,9904,1269,10,12
2025-09-21T11:39:51.029000+00:00,9904,1269,9,6
2025-09-21T11:39:53.144000+00:00,9904,1269,11,12
2025-09-21T11:39:53.144000+00:00,9904,1269,10,5
2025-09-21T11:39:54.746000+00:00,9904,1269,12,12
2025-09-21T11:39:54.746000+00:00,9904,1269,11,14
2025-09-21T11:41:26.402000+00:00,9904,1269,6,4
2025-09-21T11:41:26.402000+00:00,9904,1269,7,16
2025-09-21T11:41:33.723000+00:00,9904,1269,8,16
2025-09-21T11:41:33.723000+00:00,9904,1269,7,44
2025-09-21T11:41:37.829000+00:00,9904,1269,8,6
2025-09-21T11:41:37.829000+00:00,9904,1269,9,16
2025-09-21T11:41:40.028000+00:00,9904,1269,10,16
2025-09-21T11:41:40.028000+00:00,9904,1269,9,5
2025-09-21T11:41:41.799000+00:00,9904,1269,11,16
2025-09-21T11:41:41.799000+00:00,9904,1269,10,14
2025-09-21T11:41:46.410000+00:00,9904,1269,11,12
2025-09-21T11:41:46.410000+00:00,9904,1269,12,16
2025-09-21T11:43:07.925000+00:00,9904,1269,4,30
2025-09-21T11:43:07.925000+00:00,9904,1269,3,63
2025-09-21T11:43:10.169000+00:00,9904,1269,5,30
2025-09-21T11:43:10.169000+00:00,9904,1269,4,22
2025-09-21T11:43:16.162000+00:00,9904,1269,6,30
2025-09-21T11:43:16.162000+00:00,9904,1269,5,4
2025-09-21T11:43:19.615000+00:00,9904,1269,7,30
2025-09-21T11:43:19.615000+00:00,9904,1269,6,44
2025-09-21T11:43:24.327000+00:00,9904,1269,8,30
2025-09-21T11:43:24.327000+00:00,9904,1269,7,6
2025-09-21T11:43:26.621000+00:00,9904,1269,9,30
2025-09-21T11:43:26.621000+00:00,9904,1269,8,5
2025-09-21T11:43:28.444000+00:00,9904,1269,10,30
2025-09-21T11:43:28.444000+00:00,9904,1269,9,14
2025-09-21T11:45:14.405000+00:00,9904,1269,9,30
2025-09-21T11:45:14.405000+00:00,9904,1269,10,14
2025-09-21T11:45:14.603000+00:00,9904,1269,10,30
2025-09-21T11:45:14.603000+00:00,9904,1269,9,12
2025-09-21T11:45:14.603000+00:00,9904,1269,11,14
2025-09-21T11:45:21.830000+00:00,9904,1269,11,16
2025-09-21T11:45:21.830000+00:00,9904,1269,12,14
2025-09-21T11:45:25.212000+00:00,9904,1269,13,14
2025-09-21T11:45:25.212000+00:00,9904,1269,12,18
2025-09-21T11:45:25.810000+00:00,9904,1269,14,14
2025-09-21T11:45:25.810000+00:00,9904,1269,13,27
